nx,ny,n_unknowns,time_direct,time_cg,cg_info,time_jacobi,jacobi_iters,time_adi,adi_iters
40,30,1064,0.005287274000011166,0.003692680000085602,{'info': 0},0.05924770499996157,2000,0.316231549999884,100
80,60,4524,0.011857771999984834,0.007099580999920363,{'info': 0},0.07277058599993325,2000,1.171924694000154,100
120,90,10384,0.030040471000120306,0.027463980999982596,{'info': 0},0.1812935479999851,2000,2.513840036999909,100
